Id,Weekly_Sales
5_7_2012-11-02,5522.580613294373
5_7_2012-11-09,5808.001799147909
5_7_2012-11-16,5853.976068184706
5_7_2012-11-23,19245.185993899027
5_7_2012-11-30,13081.288399984845
5_7_2012-12-07,15398.555003698419
5_7_2012-12-14,16116.510388837658
5_7_2012-12-21,17810.071381195514
5_7_2012-12-28,16077.48195317027
5_7_2013-01-04,5626.189223191188
5_7_2013-01-11,5055.532153310959
5_7_2013-01-18,5195.928247614709
5_7_2013-01-25,5243.090900884557
5_7_2013-02-01,5689.421987770559
5_7_2013-02-08,5434.434398331164
5_7_2013-02-15,5477.516594505768
5_7_2013-02-22,5076.200420950938
5_7_2013-03-01,5120.671449660169
5_7_2013-03-08,5420.762129986285
5_7_2013-03-15,5286.750476012264
5_7_2013-03-22,5398.992398201294
5_7_2013-03-29,5240.754995432899
5_7_2013-04-05,6229.694220177485
5_7_2013-04-12,5611.891509585855
5_7_2013-04-19,5547.270846725106
5_7_2013-04-26,5460.288206290761
5_7_2013-05-03,5416.469904961041
5_7_2013-05-10,5456.61749739394
5_7_2013-05-17,5625.699600540399
5_7_2013-05-24,7005.6211635988375
5_7_2013-05-31,7603.770428431457
5_7_2013-06-07,8001.85064501731
5_7_2013-06-14,6537.609436897552
5_7_2013-06-21,6493.653609802313
5_7_2013-06-28,6533.1541277013
5_7_2013-07-05,6571.826585367242
5_7_2013-07-12,5547.2093332806635
5_7_2013-07-19,5414.031027674609
5_7_2013-07-26,5203.183072201305
